FIELD,YEAR,MONTH,PRODUCTION
A18-FA,2021,FEB,39744.913
A18-FA,2021,JAN,47184.799000000006
A18-FA,2021,JUL,42241.612
A18-FA,2021,JUN,39054.911
A18-FA,2021,MAR,39371.002
A18-FA,2021,MAY,44768.932
A18-FA,2021,NOV,0.0
A18-FA,2021,OCT,0.0
A18-FA,2021,SEP,29426.649999999998
Ameland-Noord,2003,APR,0.0
Ameland-Noord,2003,AUG,0.0
Ameland-Noord,2003,DEC,0.0
Ameland-Noord,2003,FEB,0.0
Ameland-Noord,2003,JAN,0.0
Ameland-Noord,2003,JUL,0.0
Ameland-Noord,2003,JUN,0.0
Ameland-Noord,2003,MAR,0.0
Ameland-Noord,2003,MAY,0.0
Ameland-Noord,2003,NOV,0.0
Ameland-Noord,2003,OCT,0.0
Ameland-Noord,2003,SEP,0.0
Ameland-Noord,2004,APR,0.0
Ameland-Noord,2004,AUG,0.0
Ameland-Noord,2004,DEC,0.0
Ameland-Noord,2004,FEB,0.0
Ameland-Noord,2004,JAN,0.0
Ameland-Noord,2004,JUL,0.0
Ameland-Noord,2004,JUN,0.0
Ameland-Noord,2004,MAR,0.0
Ameland-Noord,2004,MAY,0.0
Ameland-Noord,2004,NOV,0.0
Ameland-Noord,2004,OCT,0.0
Ameland-Noord,2004,SEP,0.0
Ameland-Noord,2005,APR,0.0
Ameland-Noord,2005,AUG,0.0
Ameland-Noord,2005,DEC,0.0
Ameland-Noord,2005,FEB,0.0
Ameland-Noord,2005,JAN,0.0
Ameland-Noord,2005,JUL,0.0
Ameland-Noord,2005,JUN,0.0
Ameland-Noord,2005,MAR,0.0
Ameland-Noord,2005,MAY,0.0
Ameland-Noord,2005,NOV,0.0
Ameland-Noord,2005,OCT,0.0
Ameland-Noord,2005,SEP,0.0
Ameland-Noord,2006,APR,0.0
Ameland-Noord,2006,AUG,0.0
Ameland-Noord,2006,DEC,0.0
Ameland-Noord,2006,FEB,0.0
Ameland-Noord,2006,JAN,0.0
Ameland-Noord,2006,JUL,0.0
Ameland-Noord,2006,JUN,0.0
Ameland-Noord,2006,MAR,0.0
Ameland-Noord,2006,MAY,0.0
Ameland-Noord,2006,NOV,0.0
Ameland-Noord,2006,OCT,0.0
Ameland-Noord,2006,SEP,0.0
Ameland-Noord,2007,APR,0.0
Ameland-Noord,2007,AUG,0.0
Ameland-Noord,2007,DEC,0.0
Ameland-Noord,2007,FEB,0.0
Ameland-Noord,2007,JAN,0.0
Ameland-Noord,2007,JUL,0.0
Ameland-Noord,2007,JUN,0.0
Ameland-Noord,2007,MAR,0.0
Ameland-Noord,2007,MAY,0.0
Ameland-Noord,2007,NOV,0.0
Ameland-Noord,2007,OCT,0.0
Ameland-Noord,2007,SEP,0.0
Ameland-Noord,2008,APR,0.0
Ameland-Noord,2008,AUG,0.0
Ameland-Noord,2008,DEC,0.0
Ameland-Noord,2008,FEB,0.0
Ameland-Noord,2008,JAN,0.0
Ameland-Noord,2008,JUL,0.0
Ameland-Noord,2008,JUN,0.0
Ameland-Noord,2008,MAR,0.0
Ameland-Noord,2008,MAY,0.0
Ameland-Noord,2008,NOV,0.0
Ameland-Noord,2008,OCT,0.0
Ameland-Noord,2008,SEP,0.0
Ameland-Oost,2003,APR,42699.794454999996
Ameland-Oost,2003,AUG,4172.188825
Ameland-Oost,2003,DEC,63453.13725
Ameland-Oost,2003,FEB,47138.876775000004
Ameland-Oost,2003,JAN,69227.74196
Ameland-Oost,2003,JUL,33455.57431
Ameland-Oost,2003,JUN,48222.27448000001
Ameland-Oost,2003,MAR,65058.71788
Ameland-Oost,2003,MAY,40938.086405
Ameland-Oost,2003,NOV,61463.567559999996
Ameland-Oost,2003,OCT,59633.290035
Ameland-Oost,2003,SEP,41280.93378000001
Ameland-Oost,2004,APR,59008.351004595
Ameland-Oost,2004,AUG,21370.50393711
Ameland-Oost,2004,DEC,53398.679090100006
Ameland-Oost,2004,FEB,62698.928935495
Ameland-Oost,2004,JAN,64990.51762525001
Ameland-Oost,2004,JUL,44829.99591856499
Ameland-Oost,2004,JUN,56270.90249009
Ameland-Oost,2004,MAR,57956.500532670005
Ameland-Oost,2004,MAY,58459.813138150006
Ameland-Oost,2004,NOV,41470.509389905004
Ameland-Oost,2004,OCT,49220.324286924995
Ameland-Oost,2004,SEP,51219.64877593
Ameland-Oost,2005,APR,49801.30711911
Ameland-Oost,2005,AUG,10058.219986790002
Ameland-Oost,2005,DEC,46977.157250585005
Ameland-Oost,2005,FEB,53798.550950339995
Ameland-Oost,2005,JAN,52676.79020645
Ameland-Oost,2005,JUL,39095.18893185501
Ameland-Oost,2005,JUN,63186.03066217001
Ameland-Oost,2005,MAR,52996.160448125
Ameland-Oost,2005,MAY,55740.000692615
Ameland-Oost,2005,NOV,47242.22257789
Ameland-Oost,2005,OCT,49188.17680721501
Ameland-Oost,2005,SEP,44169.66870957
Ameland-Oost,2006,APR,38594.908152085
Ameland-Oost,2006,AUG,13164.00367761
Ameland-Oost,2006,DEC,23232.058636945
Ameland-Oost,2006,FEB,41190.908388815
Ameland-Oost,2006,JAN,49374.85140087
Ameland-Oost,2006,JUL,37022.44024902
Ameland-Oost,2006,JUN,18001.030528145002
Ameland-Oost,2006,MAR,45952.976144195
Ameland-Oost,2006,MAY,27395.018010609998
Ameland-Oost,2006,NOV,39763.52189078501
Ameland-Oost,2006,OCT,32582.772451195004
Ameland-Oost,2006,SEP,33038.699329790004
Ameland-Oost,2007,APR,30867.93954922
Ameland-Oost,2007,AUG,13403.780582534999
Ameland-Oost,2007,DEC,39660.87760637
Ameland-Oost,2007,FEB,40655.057985075
Ameland-Oost,2007,JAN,43653.07050458
Ameland-Oost,2007,JUL,34388.820688475
Ameland-Oost,2007,JUN,38112.107313865
Ameland-Oost,2007,MAR,41573.536608465
Ameland-Oost,2007,MAY,34214.48543557501
Ameland-Oost,2007,NOV,40972.427052995
Ameland-Oost,2007,OCT,32628.916543125
Ameland-Oost,2007,SEP,42843.3261899
Ameland-Oost,2008,APR,41126.25370338
Ameland-Oost,2008,AUG,9304.56550266
Ameland-Oost,2008,DEC,30655.572500739996
Ameland-Oost,2008,FEB,36869.97971356
Ameland-Oost,2008,JAN,39307.259549220005
Ameland-Oost,2008,JUL,27192.77392647
Ameland-Oost,2008,JUN,35803.208523875
Ameland-Oost,2008,MAR,40561.08721179
Ameland-Oost,2008,MAY,35253.655829200005
Ameland-Oost,2008,NOV,32740.062387525006
Ameland-Oost,2008,OCT,31464.1268713
Ameland-Oost,2008,SEP,29848.928581245003
Ameland-Oost,2009,APR,35421.52656298
Ameland-Oost,2009,AUG,14191.138546
Ameland-Oost,2009,DEC,35544.53914621501
Ameland-Oost,2009,FEB,31668.12844383
Ameland-Oost,2009,JAN,33422.535427115006
Ameland-Oost,2009,JUL,0.0
Ameland-Oost,2009,JUN,31665.370896020002
Ameland-Oost,2009,MAR,34294.893166705006
Ameland-Oost,2009,MAY,32216.509127940008
Ameland-Oost,2009,NOV,34611.447840245004
Ameland-Oost,2009,OCT,33089.91756287
Ameland-Oost,2009,SEP,29928.937554505
Ameland-Oost,2010,APR,32895.79210457
Ameland-Oost,2010,AUG,35974.408569395
